GCCSA_CODE_2021,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus,C16_Aus_Bplace_NS,C16_Aus_Tot_resp,C16_Aus_Ab_BP_B_OS,C16_Aus_Ab_Fa_O_B_OS,C16_Aus_Ab_Mo_O_B_OS,C16_Aus_Ab_BP_B_Aus,C16_Aus_Abor_Bplace_NS,C16_Aus_Abor_Tot_resp,C16_Chi_BP_B_OS,C16_Chi_Fa_O_B_OS,C16_Chi_Mo_O_B_OS,C16_Chi_BP_B_Aus,C16_Chi_Bplace_NS,C16_Chi_Tot_resp,C16_Cro_BP_B_OS,C16_Cro_Fa_O_B_OS,C16_Cro_Mo_O_B_OS,C16_Cro_BP_B_Aus,C16_Cro_Bplace_NS,C16_Cro_Tot_resp,C16_Dut_BP_B_OS,C16_Dut_Fa_O_B_OS,C16_Dut_Mo_O_B_OS,C16_Dut_BP_B_Aus,C16_Dut_Bplace_NS,C16_Dut_Tot_resp,C16_Eng_BP_B_OS,C16_Eng_Fa_O_B_OS,C16_Eng_Mo_O_B_OS,C16_Eng_BP_B_Aus,C16_Eng_Bplace_NS,C16_Eng_Tot_resp,C16_Fil_BP_B_OS,C16_Fil_Fa_O_B_OS,C16_Fil_Mo_O_B_OS,C16_Fil_BP_B_Aus,C16_Fil_Bplace_NS,C16_Fil_Tot_resp,C16_Fre_BP_B_OS,C16_Fre_Fa_O_B_OS,C16_Fre_Mo_O_B_OS,C16_Fre_BP_B_Aus,C16_Fre_Bplace_NS,C16_Fre_Tot_resp,C16_Ger_BP_B_OS,C16_Ger_Fa_O_B_OS,C16_Ger_Mo_O_B_OS,C16_Ger_BP_B_Aus,C16_Ger_Bplace_NS,C16_Ger_Tot_resp,C16_Gre_BP_B_OS,C16_Gre_Fa_O_B_OS,C16_Gre_Mo_O_B_OS,C16_Gre_BP_B_Aus,C16_Gre_Bplace_NS,C16_Gre_Tot_resp,C16_Hun_BP_B_OS,C16_Hun_Fa_O_B_OS,C16_Hun_Mo_O_B_OS,C16_Hun_BP_B_Aus,C16_Hun_Bplace_NS,C16_Hun_Tot_resp,C16_Ind_BP_B_OS,C16_Ind_Fa_O_B_OS,C16_Ind_Mo_O_B_OS,C16_Ind_BP_B_Aus,C16_Ind_Bplace_NS,C16_Ind_Tot_resp,C16_Iri_BP_B_OS,C16_Iri_Fa_O_B_OS,C16_Iri_Mo_O_B_OS,C16_Iri_BP_B_Aus,C16_Iri_Bplace_NS,C16_Iri_Tot_resp,C16_Ita_BP_B_OS,C16_Ita_Fa_O_B_OS,C16_Ita_Mo_O_B_OS,C16_Ita_BP_B_Aus,C16_Ita_Bplace_NS,C16_Ita_Tot_resp,C16_Kor_BP_B_OS,C16_Kor_Fa_O_B_OS,C16_Kor_Mo_O_B_OS,C16_Kor_BP_B_Aus,C16_Kor_Bplace_NS,C16_Kor_Tot_resp,C16_Leb_BP_B_OS,C16_Leb_Fa_O_B_OS,C16_Leb_Mo_O_B_OS,C16_Leb_BP_B_Aus,C16_Leb_Bplace_NS,C16_Leb_Tot_resp,C16_Mac_BP_B_OS,C16_Mac_Fa_O_B_OS,C16_Mac_Mo_O_B_OS,C16_Mac_BP_B_Aus,C16_Mac_Bplace_NS,C16_Mac_Tot_resp,C16_Mal_BP_B_OS,C16_Mal_Fa_O_B_OS,C16_Mal_Mo_O_B_OS,C16_Mal_BP_B_Aus,C16_Mal_Bplace_NS,C16_Mal_Tot_resp,C16_Mao_BP_B_OS,C16_Mao_Fa_O_B_OS,C16_Mao_Mo_O_B_OS,C16_Mao_BP_B_Aus,C16_Mao_Bplace_NS,C16_Mao_Tot_resp,C16_NZ_BP_B_OS,C16_NZ_Fa_O_B_OS,C16_NZ_Mo_O_B_OS,C16_NZ_BP_B_Aus,C16_NZ_Bplace_NS,C16_NZ_Tot_resp,C16_Pol_BP_B_OS,C16_Pol_Fa_O_B_OS,C16_Pol_Mo_O_B_OS,C16_Pol_BP_B_Aus,C16_Pol_Bplace_NS,C16_Pol_Tot_resp,C16_Rus_BP_B_OS,C16_Rus_Fa_O_B_OS,C16_Rus_Mo_O_B_OS,C16_Rus_BP_B_Aus,C16_Rus_Birthplac_ns,C16_Rus_Tot_resp,C16_Sam_BP_B_OS,C16_Sam_Fa_O_B_OS,C16_Sam_Mo_O_B_OS,C16_Sam_BP_B_Aus,C16_Sam_Birthplac_ns,C16_Sam_Tot_resp,C16_Sco_BP_B_OS,C16_Sco_Fa_O_B_OS,C16_Sco_Mo_O_B_OS,C16_Sco_BP_B_Aus,C16_Sco_Birthplac_ns,C16_Sco_Tot_resp,C16_Ser_BP_B_OS,C16_Ser_Fa_O_B_OS,C16_Ser_Mo_O_B_OS,C16_Ser_BP_B_Aus,C16_Ser_Bplace_NS,C16_Ser_Tot_resp,C16_SAf_BP_B_OS,C16_SAf_Fa_O_B_OS,C16_SAf_Mo_O_B_OS,C16_SAf_BP_B_Aus,C16_SAf_Bplace_NS,C16_SAf_Tot_resp,C16_Span_BP_B_OS,C16_Span_Fa_O_B_OS,C16_Span_Mo_O_B_OS,C16_Span_BP_B_Aus,C16_Span_Bplace_NS,C16_Span_Tot_resp,C16_SriL_BP_B_OS,C16_SriL_Fa_O_B_OS,C16_SriL_Mo_O_B_OS,C16_SriL_BP_B_Aus,C16_SriL_Bplace_NS,C16_SriL_Tot_resp,C16_Viet_BP_B_OS,C16_Viet_Fa_O_B_OS,C16_Viet_Mo_O_B_OS,C16_Viet_BP_B_Aus,C16_Viet_Bplace_NS,C16_Viet_Tot_resp,C16_Wel_BP_B_OS,C16_Wel_Fa_O_B_OS,C16_Wel_Mo_O_B_OS,C16_Wel_BP_B_Aus,C16_Wel_Bplace_NS,C16_Wel_Tot_resp,C16_Oth_BP_B_OS,C16_Oth_Fa_O_B_OS,C16_Oth_Mo_O_B_OS,C16_Oth_BP_B_Aus,C16_Oth_Bplace_NS,C16_Oth_Tot_resp,C16_Anc_ns_BP_B_OS,C16_Anc_ns_Fa_O_B_OS,C16_Anc_ns_Mo_O_B_OS,C16_Anc_ns_BP_B_Aus,C16_Anc_ns_Bplace_NS,C16_Anc_NS_Tot_resp,C16_Tot_P_BP_B_OS,C16_Tot_P_Fa_O_B_OS,C16_Tot_P_Mo_O_B_OS,C16_Tot_P_BP_B_Aus,C16_Tot_P_Bplace_NS,C16_Tot_P_Tot_resp,C21_Aus_BP_B_OS,C21_Aus_Fa_O_B_OS,C21_Aus_Mo_O_B_OS,C21_Aus_BP_B_Aus
1GSYD,108729,798864,15705,1133986,221,948,426,9092,219,10906,455794,6755,11260,10386,3778,487973,25101,3302,1993,6772,316,37484,22845,6864,4054,10721,372,44856,302101,123097,87572,691164,16210,1220144,91229,2193,6903,1159,926,102410,19178,2570,1751,7760,318,31577,45195,11242,7873,57218,1379,122907,68546,11558,6123,30295,1188,117710,12613,2198,1156,2855,156,18978,186035,2884,2454,1544,1097,194014,76661,34031,23330,278191,4424,416637,102236,24742,11426,63655,2108,204167,61459,400,1213,412,286,63770,107839,20982,9515,20351,1688,160375,19203,2161,1231,3206,191,25992,27900,6967,3952,17792,552,57163,18158,2787,1778,1190,403,24316,22103,7300,5382,2966,318,38069,25071,3475,2621,6276,265,37708,20236,1568,1518,2888,316,26526,20876,2049,877,448,503,24753,66971,29370,21371,186471,3272,307455,19216,1644,1035,1870,284,24049,21670,2583,1951,813,148,27165,32641,1890,1596,2960,354,39441,21799,822,653,428,123,23825,99631,1212,2363,1012,1234,105452,10222,2672,1753,9231,177,24055,650912,45409,35769,43663,6833,782586,25529,2399,1829,14002,261215,304974,2385353,310179,219849,1595037,313575,4823993,89579,162965,122933,783384
1RNSW,57622,955609,20321,1123708,73,629,264,18363,508,19837,18222,979,1347,5251,316,26115,4603,921,451,1719,94,7788,14784,4923,3200,9987,344,33238,123171,74497,54305,807717,19229,1078919,10934,405,2680,540,272,14831,4149,982,790,6591,152,12664,20948,7660,5369,77244,1601,112822,6332,1909,755,5847,199,15042,3181,768,345,1289,81,5664,15446,724,543,920,138,17771,24679,17002,11541,266009,4718,323949,22598,7844,3066,33270,912,67690,2392,63,183,139,25,2802,2710,824,415,2082,83,6114,9423,1193,600,2258,157,13631,4893,1635,898,4703,148,12277,4754,1476,1000,1381,144,8755,7090,3917,2901,2349,206,16463,7415,1610,1066,4510,170,14771,2662,524,441,1427,45,5099,1656,545,200,161,48,2610,32585,20049,14522,207670,3879,278705,3257,393,260,605,66,4581,4139,812,640,499,57,6147,5200,680,513,2586,137,9116,1838,176,158,188,35,2395,3474,150,262,123,38,4047,5609,2117,1291,9280,204,18501,74456,14398,10678,25589,1688,126809,4066,1249,894,23956,172041,202206,375394,147639,104924,1799836,215742,2643535,14508,89870,67018,953745
19499,201,2589,86,3247,0,3,5,92,5,105,434,8,8,18,4,472,29,0,0,0,0,29,77,18,14,34,0,143,807,254,190,1950,72,3273,77,0,20,7,0,104,64,10,3,26,4,107,148,27,19,200,8,402,47,8,0,21,3,79,21,3,0,8,0,32,140,0,0,3,0,143,207,64,39,712,14,1036,119,27,16,95,5,262,47,0,0,0,0,47,77,9,5,13,0,104,8,0,0,0,0,8,20,8,0,11,0,39,52,12,6,4,3,77,60,19,12,3,10,104,40,7,7,17,0,71,19,0,4,8,3,34,50,7,0,3,0,60,191,58,46,536,13,844,11,0,0,0,0,11,35,4,7,3,0,49,58,0,0,8,0,66,9,0,0,0,0,9,78,3,5,0,0,86,35,8,4,21,0,68,867,68,52,101,27,1115,49,5,8,67,3195,3324,3257,554,395,4678,3397,12281,84,252,196,2300
19799,7,91,0,125,0,0,0,0,0,0,36,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,39,6,8,72,3,128,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,33,0,42,8,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,9,0,0,0,0,9,0,0,0,0,0,0,12,0,6,20,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,0,0,0,0,0,0,22,0,0,0,0,22,13,0,0,5,36,54,163,19,15,174,45,416,0,0,0,0
2GMEL,99279,779970,14363,1077374,273,336,161,3269,80,4119,334087,4394,7643,7630,2572,356326,24876,3290,1810,5699,351,36026,32168,9865,6158,17900,582,66673,268958,117194,86452,704544,15906,1193054,53378,1073,4742,740,568,60501,15410,2047,1581,7599,259,26896,44585,13030,8884,67692,1536,135727,101168,14712,7655,36760,1806,162101,12686,2117,1265,3249,225,19542,189857,3295,2389,1683,1226,198450,63767,32225,21678,287900,4529,410099,151017,33117,16033,96279,3661,300107,16191,133,422,178,75,16999,31086,6030,2728,4659,592,45095,29279,3447,1967,5865,437,40995,35974,7447,4642,17260,596,65919,14008,1486,1131,723,307,17655,19661,5826,4448,2043,301,32279,30890,4669,3448,8929,405,48341,17240,1308,1301,2278,212,22339,14529,855,409,152,335,16280,64913,29232,22261,209095,3567,329068,17228,1486,857,1593,242,21406,15005,2070,1467,719,121,19382,17975,1343,1100,2741,228,23387,50707,2317,1569,1488,316,56397,100274,1205,2366,795,1267,105907,8386,2301,1588,8928,166,21369,530551,38456,30511,42824,6388,648730,24581,2247,1760,15647,233690,277925,2072067,288565,206202,1634120,284251,4485205,76764,152538,116050,797068
2RVIC,28235,488882,10903,574015,30,161,40,2608,85,2924,9676,375,613,3178,179,14021,4422,704,342,1520,94,7082,13448,4597,2897,9616,347,30905,62834,38023,27641,434944,10931,574373,6072,159,1168,212,158,7769,1710,406,281,3363,87,5847,11618,4350,2890,46020,1016,65894,3877,1006,359,2909,125,8276,2047,417,212,804,54,3534,9597,375,201,398,90,10661,13090,9453,5964,155239,2803,186549,17425,5333,2170,26521,905,52354,717,4,42,35,9,807,503,179,73,435,10,1200,1608,258,126,539,39,2570,3515,1050,525,2715,109,7914,2036,459,310,410,44,3259,3257,1651,1326,886,84,7204,4226,864,507,2449,123,8169,1314,212,166,602,36,2330,656,106,52,39,8,861,16808,10351,7433,125652,2487,162731,1487,202,110,280,44,2123,1702,326,225,245,29,2527,1820,291,238,1203,41,3593,1642,199,126,188,17,2172,1841,81,133,44,36,2135,2367,780,499,4146,85,7877,40683,6451,4800,13759,948,66641,2630,695,568,14641,95077,113611,209449,76587,53397,974480,119909,1433822,8638,47505,34252,519374
29499,127,1448,68,1889,0,3,0,24,0,27,275,5,3,8,0,291,13,4,0,3,0,20,48,17,15,29,3,112,405,138,103,1064,63,1773,41,4,0,0,0,45,31,9,5,0,0,45,77,27,13,109,8,234,39,11,5,19,0,74,8,5,0,0,0,13,134,8,6,0,0,148,107,53,26,408,21,615,111,29,15,89,6,250,34,0,0,0,0,34,16,9,0,11,0,36,9,0,0,0,0,9,22,4,0,16,0,42,38,4,3,3,0,48,45,12,4,10,4,75,24,3,0,12,0,39,26,0,0,0,0,26,30,0,4,0,0,34,100,28,22,319,17,486,10,3,0,0,0,13,10,0,0,0,0,10,21,4,0,0,0,25,18,0,0,0,0,18,96,0,0,0,0,96,11,3,0,23,0,37,668,53,29,66,25,841,42,5,3,38,1914,2002,2209,378,235,2654,2091,7567,61,230,123,1415
29799,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,3,0,10,3,28,0,0,0,0
3GBRI,66318,553885,9693,733805,97,503,251,6185,128,7164,87958,2051,3401,5488,695,99593,4036,788,384,1197,56,6461,17221,5484,3373,9092,292,35462,199518,78195,58078,495506,10899,842196,23364,654,3767,547,261,28593,7867,1255,935,4637,117,14811,24914,9456,6638,93906,1533,136447,7193,2572,1139,6856,217,17977,4141,815,389,1175,45,6565,50540,1354,1022,974,348,54238,44868,20412,14248,197051,2910,279489,19918,7522,3340,27498,618,58896,13918,64,405,137,51,14575,2171,703,334,1576,43,4827,1099,168,101,186,10,1564,2237,1027,563,2644,59,6530,25133,2630,1862,936,446,31007,21657,6372,5043,2045,290,35407,8069,1602,1088,4203,143,15105,5006,656,577,1870,74,8183,20024,1306,695,243,349,22617,51490,19967,14761,145977,2394,234589,3713,367,243,368,47,4738,12169,1160,935,395,71,14730,8967,805,636,2048,99,12555,6441,379,291,298,39,7448,22702,479,753,356,220,24510,6424,1556,1058,6744,112,15894,165522,16722,15141,26338,2202,225925,7935,1224,967,11969,126129,148224,723339,158957,120723,1115504,152277,2270800,26450,99605,79896,584727
3RQLD,63263,742465,14434,911665,108,708,326,28194,384,29720,25541,1205,1676,7692,403,36517,3384,673,313,1244,59,5673,17616,4752,3349,9034,334,35085,191184,70645,55598,616696,14621,948744,18941,468,3670,769,335,24183,7089,1053,892,5245,185,14464,25620,8971,6752,115850,2114,159307,4100,1645,749,4964,120,11578,3519,682,299,976,76,5552,17636,703,473,825,144,19781,38067,16390,12182,213305,3765,283709,20954,8281,3824,38534,924,72517,6823,43,240,101,44,7251,1107,400,207,1122,17,2853,602,108,64,194,4,972,3835,1507,890,5213,117,11562,17307,2150,1640,1133,293,22523,19304,5984,4482,2205,282,32257,6035,1132,802,3597,117,11683,3452,518,448,1546,53,6017,3150,430,205,259,52,4096,47865,17914,13690,168331,3179,250979,1751,250,120,317,34,2472,9785,885,772,433,60,11935,5926,768,511,2798,106,10109,2341,191,127,275,18,2952,3303,121,225,87,50,3786,6254,1423,961,6607,193,15438,99077,14251,13779,42540,2084,171731,5736,1298,1074,19551,176390,204049,498673,143332,113303,1454142,210271,2419721,18288,86610,73142,735945
39499,211,3076,64,3778,0,7,0,84,3,94,225,6,7,35,8,281,9,0,0,4,0,13,140,29,16,25,5,215,1305,281,189,2144,76,3995,57,4,6,3,0,70,95,5,7,28,4,139,192,24,17,377,12,622,15,7,3,25,0,50,10,5,4,0,0,19,79,0,0,4,0,83,270,59,45,728,24,1126,143,29,7,89,0,268,41,0,0,0,0,41,3,3,0,0,0,6,0,0,0,0,0,0,12,0,0,8,0,20,88,3,12,4,3,110,103,21,15,9,3,151,37,6,7,12,0,62,14,0,0,6,0,20,19,0,0,0,0,19,299,90,59,624,18,1090,8,0,0,3,0,11,26,0,0,0,0,26,43,0,0,11,0,54,12,0,0,0,0,12,32,0,0,0,0,32,48,6,5,40,4,103,678,56,27,126,26,913,49,3,5,87,2465,2609,3385,607,391,5483,2657,12523,89,412,333,3294
39799,3,28,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,13,5,3,37,3,61,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,15,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,13,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,3,0,0,0,18,21,46,3,4,76,25,154,0,0,0,8
4GADE,33767,303717,6099,400480,40,250,111,3033,92,3526,46370,839,1283,1408,331,50231,4453,712,369,1449,56,7039,9956,3176,2039,4993,154,20318,122136,46060,35998,272385,6622,483201,11132,292,1393,264,150,13231,2673,523,375,2517,65,6153,16318,6543,4494,60278,1064,88697,19459,3638,1611,10135,357,35200,3070,612,251,959,55,4947,29870,570,416,400,186,31442,19824,8178,5554,69748,1272,104576,42196,10012,4270,30321,1076,87875,3814,52,159,153,31,4209,2813,673,325,1098,48,4957,949,132,91,339,11,1522,2859,803,502,1896,71,6131,1184,411,233,229,45,2102,2730,1350,863,497,40,5480,10349,1579,993,3582,164,16667,4140,384,323,816,45,5708,231,81,21,10,7,350,25117,9622,7440,62912,1227,106318,4342,415,231,543,59,5590,3171,362,332,157,25,4047,3273,325,258,783,44,4683,3174,158,139,101,21,3593,18274,535,535,266,184,19794,4727,1019,707,3308,94,9855,97713,8512,6213,12278,1219,125935,4234,528,468,5750,57390,68370,458104,91006,65325,607389,73894,1295718,15700,50494,38303,311239
4RSAU,7772,136639,3176,159041,19,84,29,4392,77,4601,1432,46,85,408,16,1987,631,119,45,319,12,1126,3038,785,601,1639,70,6133,24221,9643,8057,110421,2874,155216,2154,36,347,60,43,2640,496,73,77,729,19,1394,3636,1740,1270,33760,643,41049,1464,260,135,1035,70,2964,372,107,25,156,17,677,1371,67,47,90,17,1592,3295,1527,1076,23276,472,29646,2756,960,369,3860,123,8068,135,0,26,15,5,181,84,38,15,120,3,260,41,3,11,12,0,67,234,85,62,279,14,674,678,112,123,123,18,1054,663,292,185,148,18,1306,843,194,125,825,34,2021,236,34,44,133,5,452,49,0,4,6,3,62,5288,2138,1744,24269,482,33921,167,27,21,47,3,265,530,48,58,19,3,658,395,64,30,226,14,729,176,16,12,15,6,225,393,22,33,12,11,471,843,231,161,980,19,2234,7581,1274,893,3076,169,12993,657,163,159,3628,24196,28803,54736,17921,13973,260570,30870,378070,2102,10506,8478,135087
49499,57,653,33,847,0,0,0,43,0,43,67,0,0,0,0,67,5,0,0,0,0,5,24,9,0,8,0,41,222,95,69,521,22,929,16,4,0,0,0,20,11,3,0,4,0,18,41,15,0,110,5,171,8,3,0,10,0,21,5,0,0,0,0,5,32,0,0,0,0,32,59,14,15,122,5,215,28,10,0,21,0,59,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,12,7,0,0,0,0,7,16,3,0,0,0,19,6,4,0,6,0,16,9,0,0,0,0,9,3,0,0,0,0,3,47,13,11,114,6,191,4,0,0,0,0,4,9,0,0,0,0,9,10,0,0,0,0,10,0,0,0,0,0,0,12,0,0,0,0,12,5,0,4,4,0,13,155,14,6,27,9,211,8,0,4,35,567,614,703,168,106,1252,637,2866,26,90,68,732
